编号,来源版本,L1类别,L2子类,语体大类,语体,噪声类型,文本长度,输入句子,期望输出,期望标签,性别触发词,保留理由,常见误改（负例陷阱）,难度,是否争议,备注,处置,切分,处置理由
NEG-0782,v5,六、自我认同与自称,6.2 主动声明的性别与代词,其他,会议现场,无,,会议名牌上她自己加了一行小字：她/她的。,,无需改写,她/她的,本人主动添加的代词标注,会议名牌上她自己加了代词标识,难,否,,主集,index,
NEG-0783,v5,六、自我认同与自称,6.2 主动声明的性别与代词,其他,入职流程,无,,入职表的性别栏他留了空，HR 也没有追问。,,无需改写,性别栏,留空本身是本人的选择,入职表的性别栏未填写,中,否,,主集,test,
NEG-0785,v5,六、自我认同与自称,6.2 主动声明的性别与代词,其他,资料卡,结构化文本,,资料卡上写着“男，代词他”，是本人亲自填的。,,无需改写,男/代词他,本人填写的声明,资料卡上的信息是本人亲自填的,难,否,,主集,index,
NEG-0786,v5,六、自我认同与自称,6.3 社群内部用语,文艺创作与评论,文化评论,无,,“腐女”在圈内是自称，圈外用起来就容易变味。,,无需改写,腐女,社群自称，句子已说明内外有别,这类称呼在圈内是自称，圈外使用需谨慎,中,是,,主集,test,
NEG-0787,v5,六、自我认同与自称,6.3 社群内部用语,其他,平台观察,网络用语,,“姐妹”这个词在美妆区已经不分性别了。,,无需改写,姐妹,用语实况描述,这一称呼在美妆区已经不分性别,中,是,,主集,index,
NEG-0789,v5,六、自我认同与自称,6.3 社群内部用语,工程与技术,网络文化,网络用语,,“打工人”不分男女，“社畜”也一样。,,无需改写,男女,网络自称的去性别化说明,这两个网络自称都不分性别,中,否,,主集,dev,
NEG-0790,v5,六、自我认同与自称,6.4 职业与身份的自我定位,文艺创作与评论,人物采访,无,,“我是个男的，做月嫂第七年了。”他说完自己先笑了。,,无需改写,男的/月嫂,受访者自述，且在打破职业性别预期,“我做月嫂第七年了。”他说完自己先笑了,难,否,,主集,test,
NEG-0791,v5,六、自我认同与自称,6.4 职业与身份的自我定位,文艺创作与评论,纪录片,无,,“作为一个女船长，我最烦的问题就是你怎么会干这行。”,,无需改写,女船长,受访者自我定位，是全段主旨,“作为一名船长，我最烦的问题是……”,难,否,,主集,test,
NEG-0792,v5,六、自我认同与自称,6.4 职业与身份的自我定位,其他,职场观察,无,,她在名片上印了“女性工程师”，说这是她自己的选择。,,无需改写,女性工程师,本人的主动选择，句子已明说,她在名片上印了“工程师”,难,否,,主集,test,
NEG-0793,v5,六、自我认同与自称,6.4 职业与身份的自我定位,学术与调研,访谈,无,,“全职妈妈也是一种职业。”她在采访里强调了三遍。,,无需改写,全职妈妈,受访者的核心主张,“全职家长也是一种职业。”,难,否,,主集,test,
NEG-0795,v5,六、自我认同与自称,6.5 艺名、网名、角色名,其他,平台观察,无,,这个 ID 叫“隔壁王阿姨”，博主其实是个二十岁的男生。,,无需改写,王阿姨/男生,账号名与本人身份的反差正是信息点,这个 ID 与博主本人身份不符,难,否,,主集,test,
NEG-0824,v5,八、语言本体层面的历史残留,8.1 字形理据,其他,词义演变,无,,“娘”字本义是年轻女子，后来才专门用来指母亲。,,无需改写,娘,词义演变的语言学事实,这个字的本义与后起义不同,中,否,,主集,test,
NEG-0825,v5,八、语言本体层面的历史残留,8.1 字形理据,学术与调研,古汉语,无,,“你”和“您”在古汉语里没有对应的性别分化。,,无需改写,你/您/性别分化,语言史事实,这两个第二人称在古汉语里没有分化,中,否,,主集,test,
NEG-0826,v5,八、语言本体层面的历史残留,8.1 字形理据,学术与调研,文字学,无,,“姓”从女、生声，与母系社会的说法有关，但不能直接等同。,,无需改写,姓/女/母系社会,形声结构与学术审慎表述,该字的构形与早期社会结构有关,中,否,,主集,dev,
NEG-0827,v5,八、语言本体层面的历史残留,8.1 字形理据,其他,古文字,无,,“妻”字的甲骨文字形，学界至今有不同解释。,,无需改写,妻,古文字研究对象,该字的甲骨文字形，学界至今有不同解释,中,否,,主集,test,
NEG-0828,v5,八、语言本体层面的历史残留,8.2 敬语传统的中性化用法,学术与调研,方言调查,方言,,南方一些地方管中医、账房都叫“先生”，是职业敬称。,,无需改写,先生,方言中的职业敬称,南方一些地方对这些职业有专门敬称,中,否,,主集,index,
NEG-0829,v5,八、语言本体层面的历史残留,8.2 敬语传统的中性化用法,其他,行业观察,无,,“师父”这个称呼在很多行当里都不分性别。,,无需改写,师父,已中性化的称谓,这个称呼在很多行当里都不分性别,中,否,,主集,test,
NEG-0830,v5,八、语言本体层面的历史残留,8.2 敬语传统的中性化用法,其他,语言观察,无,,饭馆里管老板娘也直接叫“老板”，现在越来越普遍。,,无需改写,老板娘/老板,称谓演变的实况描述,饭馆里的称呼现在越来越统一,中,否,,主集,index,
NEG-0831,v5,八、语言本体层面的历史残留,8.2 敬语传统的中性化用法,学术与调研,学术史,无,,学界称许广平为“许先生”，是当时的通例。,,无需改写,许先生,历史称谓事实,学界对其的称呼是当时的通例,难,是,,主集,test,
NEG-0832,v5,八、语言本体层面的历史残留,8.3 已中性化的复合词,学术与调研,语用说明,无,,“子女”是中性词，不必再改成别的说法。,,无需改写,子女,句子本身在说明该词无需改写,这个词是中性的，不必再改,中,否,元层面样本：改写它构成自相矛盾,主集,index,
NEG-0833,v5,八、语言本体层面的历史残留,8.3 已中性化的复合词,其他,文章用语,无,,文中的“父辈”泛指上一代人，并不专指父亲。,,无需改写,父辈/父亲,用词说明,文中的这一称呼泛指上一代人,中,否,,主集,dev,
NEG-0834,v5,八、语言本体层面的历史残留,8.3 已中性化的复合词,学术与调研,语用说明,无,,“兄弟姐妹”作整体泛指时，不涉及具体的性别构成。,,无需改写,兄弟姐妹,四字格的整体泛指用法,这个词作整体泛指时不涉及具体构成,中,是,,主集,index,
NEG-0837,v5,八、语言本体层面的历史残留,8.4 语法性词汇,学术与调研,民俗词源,无,,“妈祖”的“妈”是尊称语素，不作亲属义理解。,,无需改写,妈祖/妈,专名构词说明,这一专名中的成分不作字面理解,中,否,,主集,index,
NEG-0838,v5,八、语言本体层面的历史残留,8.4 语法性词汇,学术与调研,语言学教材,无,,德语名词分三性，“女孩”一词偏偏是中性，常被拿来当例子。,,无需改写,三性/女孩,语法性属的经典例证,德语名词分三性，常有名实不符的例子,中,否,,主集,test,
NEG-0839,v5,八、语言本体层面的历史残留,8.4 语法性词汇,学术与调研,翻译研究,无,,阿拉伯语动词随主语性别变位，译成中文时一律不体现。,,无需改写,性别变位,跨语言对比,阿拉伯语动词随主语变位，译成中文不体现,易,否,,主集,index,
NEG-0840,v5,八、语言本体层面的历史残留,8.5 惯用搭配与固定表达,学术与调研,语用说明,无,,“男女老少”是个四字整体，不是在做二分。,,无需改写,男女老少,固定语的整体用法说明,这个四字词是整体表达，不是在做二分,中,是,,主集,dev,
NEG-0841,v5,八、语言本体层面的历史残留,8.5 惯用搭配与固定表达,其他,文章分析,无,,“夫唱妇随”在这篇文章里是被批评的对象，不是主张。,,无需改写,夫唱妇随,句子本身在澄清立场,这个成语在文中是被批评的对象,难,否,,主集,index,
NEG-0843,v5,八、语言本体层面的历史残留,8.5 惯用搭配与固定表达,其他,职场用语,无,,“娘家人”在很多场合已经泛指原单位或原团队。,,无需改写,娘家人,词义泛化的实况描述,这个词在很多场合已泛指原单位,中,是,,主集,test,
NEG-0844,v5,九、假触发词（形似而非）,9.1 建筑与工程构件,其他,消防检查,无,,子母门的常闭扇平时锁死，消防检查时必须能打开。,,无需改写,子母门,门型名称,双扇门的常闭扇平时锁死,易,否,,主集,index,
NEG-0846,v5,九、假触发词（形似而非）,9.2 机械电气与器件,工程与技术,电气施工,无,,母排与支路的连接处要做绝缘包扎。,,无需改写,母排,电气元件名称,汇流排与支路的连接处要做绝缘包扎,易,否,,主集,index,
NEG-0849,v5,九、假触发词（形似而非）,9.3 生物农业与育种,其他,种子检验,无,,这批种子的父母本纯度检测报告在附件里。,,无需改写,父母本,育种检验术语,这批种子的亲本纯度检测报告在附件里,中,否,,主集,index,
NEG-0850,v5,九、假触发词（形似而非）,9.3 生物农业与育种,工程与技术,植物学,无,,雄蕊和雌蕊长在同一朵花里的，叫两性花。,,无需改写,雄蕊/雌蕊/两性花,植物解剖学术语,两种花蕊长在同一朵花里的叫两性花,易,否,,主集,index,
NEG-0851,v5,九、假触发词（形似而非）,9.3 生物农业与育种,其他,宠物医疗,无,,公狗和母狗的免疫程序基本一致，绝育时间有差别。,,无需改写,公狗/母狗,动物性别的临床区分,犬类的免疫程序基本一致，绝育时间有差别,中,否,,主集,dev,
NEG-0852,v5,九、假触发词（形似而非）,9.3 生物农业与育种,其他,苗木繁育,无,,从母株扦插繁殖出来的苗，性状比较稳定。,,无需改写,母株,园艺术语,从原株扦插繁殖出来的苗性状比较稳定,易,否,,主集,dev,
NEG-0853,v5,九、假触发词（形似而非）,9.3 生物农业与育种,医疗健康,中药科普,无,,益母草是常用中药，但并非只有女性能用。,,无需改写,益母草/女性,药名与用药说明，句子在破除误解,这味常用中药并非只有特定人群能用,难,否,,主集,test,
NEG-0854,v5,九、假触发词（形似而非）,9.4 计算机与数学,工程与技术,前端开发,无,,这个叫父容器，里面嵌的都是子容器。,,无需改写,父容器/子容器,布局术语,这个叫外层容器，里面嵌的都是内层容器,易,否,,主集,test,
NEG-0855,v5,九、假触发词（形似而非）,9.4 计算机与数学,其他,数据仓库,无,,维度表和事实表之间是父子关系，靠主键关联。,,无需改写,父子关系,数据建模术语,两类表之间是层级关系，靠主键关联,中,否,,主集,test,
NEG-0856,v5,九、假触发词（形似而非）,9.4 计算机与数学,其他,办公技巧,无,,母版幻灯片改一次，全篇的版式都会跟着变。,,无需改写,母版,演示软件功能名称,模板幻灯片改一次，全篇版式都会变,易,否,,主集,test,
NEG-0857,v5,九、假触发词（形似而非）,9.5 组织与商业术语,工程与技术,酿造工艺,无,,这批酒的母液回收之后还能再用两轮。,,无需改写,母液,化工与酿造术语,这批酒的原液回收之后还能再用两轮,易,否,,主集,dev,
NEG-0858,v5,九、假触发词（形似而非）,9.5 组织与商业术语,医疗健康,军事科普,无,,航空母舰的甲板长度直接决定了舰载机的起降方式。,,无需改写,航空母舰,装备正式名称,大型舰艇的甲板长度决定舰载机起降方式,易,否,,主集,index,
NEG-0859,v5,九、假触发词（形似而非）,9.5 组织与商业术语,学术与调研,语言学习,无,,母语者的语感很难只靠语法书获得。,,无需改写,母语者,语言学术语,第一语言使用者的语感很难只靠语法书获得,中,否,,主集,dev,
NEG-0860,v5,九、假触发词（形似而非）,9.6 固定词与成语,口语与私人交流,带教口语,无,,“老母鸡带小鸡”常用来形容师傅带徒弟。,,无需改写,老母鸡带小鸡,俗语原文,这句俗语常用来形容师傅带徒弟,中,否,,主集,index,
NEG-0862,v5,九、假触发词（形似而非）,9.7 专名、地名与商标,其他,园林绿化,无,,女贞是常见的绿化树种，冬天也不落叶。,,无需改写,女贞,植物学名,这种常见绿化树种冬天也不落叶,易,否,,主集,dev,
NEG-0865,v6,一、指称已知性别的具体个人,1.1 姓名与社会称谓,口语与私人交流,科室口语,无,,我们科护士长姓吴，大家都叫她吴姐。,,无需改写,她/吴姐,对具体同事的称呼,我们科护士长姓吴，大家都这么叫,难,否,,主集,test,
NEG-0868,v6,一、指称已知性别的具体个人,1.1 姓名与社会称谓,口语与私人交流,邻里口语,无,,外婆管隔壁那位叫“三婶儿”，其实两家没亲戚关系。,,无需改写,外婆/三婶儿,拟亲属称谓的实况描述,长辈管隔壁那位有个专门叫法,难,否,,主集,test,
NEG-0869,v6,一、指称已知性别的具体个人,1.1 姓名与社会称谓,其他,工作沟通,无,,这位是甲方对接人周总，她今天到现场。,,无需改写,周总/她,对具体合作方人员的指称,这位是甲方对接人周总，其今天到现场,中,否,,主集,test,
NEG-0870,v6,一、指称已知性别的具体个人,1.1 姓名与社会称谓,工程与技术,物流通知,缩略,,快递单收件人写的是“王小姐”，人不在就放驿站。,,无需改写,王小姐,单据上的既有信息,快递单收件人信息如无人签收就放驿站,中,否,,主集,index,
NEG-0871,v6,一、指称已知性别的具体个人,1.1 姓名与社会称谓,文艺创作与评论,讣告,无,,讣告落款署“孝男某某泣血稽颡”，是旧式格式。,,无需改写,孝男,丧仪文书的固定格式,讣告落款用的是旧式格式,中,否,,主集,index,
NEG-0872,v6,一、指称已知性别的具体个人,1.2 人称代词,口语与私人交流,日常口语,无,,你问她干嘛，她自己都不知道明天几点走。,,无需改写,她,指称在场双方已知的具体某人,你问TA干嘛，TA自己都不知道,难,否,,主集,test,
NEG-0873,v6,一、指称已知性别的具体个人,1.2 人称代词,口语与私人交流,家常口语,无,,孩子他妈今天加班，我来接。,,无需改写,孩子他妈,口语中对配偶的指称方式,孩子的家长今天加班，我来接,难,否,,主集,index,
NEG-0874,v6,一、指称已知性别的具体个人,1.2 人称代词,其他,工作对话,无,,甲方那边谁负责？——她，穿蓝衣服那个。,,无需改写,她,现场指认某个具体的人,甲方那边谁负责？——那位穿蓝衣服的,难,否,,主集,dev,
NEG-0875,v6,一、指称已知性别的具体个人,1.2 人称代词,其他,课堂,无,,这题他会做，让他上来讲一遍。,,无需改写,他,指称班上某位具体学生,这题这位同学会做，让他上来讲,中,否,,主集,test,
NEG-0876,v6,一、指称已知性别的具体个人,1.2 人称代词,新闻报道,人物特写,无,,两位老人身体都还硬朗，她七十八，他八十一。,,无需改写,她/他,分别指称两位具体老人，改写会混淆,两位老人身体都还硬朗，分别是七十八和八十一,难,否,,主集,dev,
NEG-0877,v6,一、指称已知性别的具体个人,1.2 人称代词,口语与私人交流,家常口语,无,,别问了，她不愿意提这事。,,无需改写,她,指称具体某人,别问了，TA不愿意提这事,难,否,,主集,dev,
NEG-0879,v6,一、指称已知性别的具体个人,1.2 人称代词,社交与社区,社交动态,拼音缩写,,她说她一个人也能扛，我信 dbq 我多嘴了,,无需改写,她,指称具体某人，含网络缩写,TA说TA一个人也能扛,难,否,,主集,dev,
NEG-0881,v6,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,口语与私人交流,家常口语,无,,我姑父是木匠，家里的家具都是他打的。,,无需改写,姑父/他,姻亲称谓，特指姑母的配偶,我家长辈是木匠，家具都是他打的,中,否,,主集,index,
NEG-0882,v6,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,口语与私人交流,生活分享,无,,婶婶做的酸菜，我一次能吃两碗。,,无需改写,婶婶,父系姻亲称谓,家里长辈做的酸菜，我一次能吃两碗,中,否,,主集,index,
NEG-0884,v6,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,口语与私人交流,家常口语,无,,丈母娘住得近，孩子多亏她帮着带。,,无需改写,丈母娘/她,姻亲称谓，无中性对应词,岳家长辈住得近，孩子多亏帮着带,中,否,,主集,dev,
NEG-0886,v6,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,口语与私人交流,家常口语,无,,大姨子把她那套房子租出去了。,,无需改写,大姨子/她,姻亲称谓，特指妻子的姐姐,亲戚把那套房子租出去了,中,否,,主集,test,
NEG-0887,v6,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,口语与私人交流,家常口语,无,,弟媳妇是护士，值夜班比较多。,,无需改写,弟媳妇,姻亲称谓,家里的亲属是护士，值夜班比较多,中,否,,主集,test,
NEG-0888,v6,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,其他,家庭介绍,无,,这是我们家老三，我大哥的女儿。,,无需改写,大哥/女儿,家族排行与亲属关系,这是我们家老三，我兄长的孩子,中,否,,主集,dev,
NEG-0889,v6,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,其他,口述回忆,无,,继父待我不薄，这一点我一直记着。,,无需改写,继父,再婚家庭的亲属称谓,长辈待我不薄，这一点我一直记着,难,否,,主集,index,
NEG-0890,v6,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,文艺创作与评论,人物采访,无,,养父母把我供到大学，这份情我一辈子还不完。,,无需改写,养父母,收养关系的称谓,家人把我供到大学，这份情我还不完,中,否,,主集,dev,
NEG-0892,v6,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,学术与调研,口述历史,无,,他跟我是同父异母，小时候没在一块儿长大。,,无需改写,同父异母,血缘关系的精确表述,他跟我是同一个家庭出来的,难,否,改写会直接说错血缘关系,主集,dev,
NEG-0893,v6,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,口语与私人交流,宗族口语,无,,族里排辈分，我得管他叫叔，其实比我小两岁。,,无需改写,叔,宗族辈分称谓,族里排辈分，我得管他叫长辈,中,否,,主集,index,
NEG-0894,v6,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,口语与私人交流,家常口语,无,,外甥女考上美院那年，我姐哭了半宿。,,无需改写,外甥女/我姐,旁系亲属称谓,家里孩子考上美院那年，我姐妹哭了半宿,中,否,,主集,index,
NEG-0895,v6,一、指称已知性别的具体个人,1.3 血亲与姻亲称谓,医疗健康,历史科普,无,,“公公”在旧小说里也指宦官，不只是丈夫的父亲。,,无需改写,公公/丈夫,一词多义的说明，两义都需保留,这一称呼在旧小说里另有所指,难,否,,主集,test,
NEG-0896,v6,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,新闻报道,人物特写,无,,老伴走了三年，他还是每天做两个人的饭。,,无需改写,老伴/他,对具体人物的描写,伴侣走了三年，他还是做两个人的饭,中,否,,主集,test,
NEG-0899,v6,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,其他,语言观察,无,,“结发妻子”这个说法，现在基本只在书面上见得到。,,无需改写,结发妻子,对旧称谓的语用观察,这类旧式称谓现在只在书面上见得到,中,否,,主集,test,
NEG-0900,v6,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,新闻报道,人物特写,无,,她初恋是高中同桌，后来去了外地。,,无需改写,她/初恋,对具体经历的叙述,TA初恋是高中同桌，后来去了外地,中,否,,主集,test,
NEG-0902,v6,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,其他,婚礼筹备,无,,未婚夫家里在张罗婚礼，她只管人到就行。,,无需改写,未婚夫/她,关系称谓与具体安排,伴侣家里在张罗婚礼，TA只管人到,难,否,,主集,test,
NEG-0903,v6,一、指称已知性别的具体个人,1.4 伴侣与恋爱关系,新闻报道,人物特写,无,,登记那天他俩谁都没请假，中午吃了碗面。,,无需改写,他俩,对具体两人的叙述,登记那天两人谁都没请假,中,否,,主集,test,
NEG-0904,v6,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,其他,寻人启事,缩略,,走失老人，女，约七十岁，穿深蓝色外套。,,无需改写,女,寻人信息的关键识别特征,走失老人，约七十岁，穿深蓝色外套,易,否,删去性别会直接影响寻人效果,主集,test,
NEG-0905,v6,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,其他,献血记录,结构化文本,,献血者信息：男，28 岁，血型 O。,,无需改写,男,采供血的登记字段,献血者信息：28 岁，血型 O,易,否,,主集,dev,
NEG-0906,v6,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,其他,工作交接,无,,这个岗位现在是一位女同事在做，交接会安排在下周。,,无需改写,女同事,介绍具体在岗人员,这个岗位现在有同事在做，交接安排在下周,难,否,,主集,dev,
NEG-0907,v6,一、指称已知性别的具体个人,1.5 社会角色中的具体个人,公文与规章,警情通报,无,,嫌疑人为两男一女，目前均已被控制。,,无需改写,两男一女,通报中的嫌疑人构成,嫌疑人共三名，目前均已被控制,易,否,,主集,index,
NEG-0908,v6,二、生理与医学必需,2.1 生殖与生育,公文与规章,疫苗咨询,无,,哺乳期妈妈接种这个疫苗不用停奶。,,无需改写,哺乳期妈妈,接种建议的适用人群,哺乳期人群接种这个疫苗不用停奶,中,否,,主集,test,
NEG-0909,v6,二、生理与医学必需,2.1 生殖与生育,医疗健康,产后医嘱,无,,产后 42 天要回医院做一次复查。,,无需改写,产后,产褥期随访要求,术后 42 天要回医院做一次复查,易,否,,主集,index,
NEG-0910,v6,二、生理与医学必需,2.1 生殖与生育,其他,生殖科,无,,男方精液常规异常的，建议禁欲 3 至 5 天后复查。,,无需改写,男方/精液,检查复查的操作要求,复查前建议禁欲 3 至 5 天,易,否,,主集,index,
NEG-0911,v6,二、生理与医学必需,2.1 生殖与生育,口语与私人交流,生活分享,无,,我表姐做了三次试管才成功，中间受了不少罪。,,无需改写,表姐/试管,当事人经历的转述,我亲戚做了三次试管才成功,中,否,,主集,dev,
NEG-0912,v6,二、生理与医学必需,2.2 生理周期与内分泌,医疗健康,健康科普,无,,经期前后情绪波动大，跟激素水平变化有关。,,无需改写,经期,生理机制说明,这一阶段情绪波动大，跟激素变化有关,易,否,,主集,dev,
NEG-0913,v6,二、生理与医学必需,2.2 生理周期与内分泌,其他,内分泌科,无,,甲状腺功能异常在女性中更常见，筛查阈值也不一样。,,无需改写,女性,流行病学差异与筛查依据,甲状腺功能异常的筛查阈值因人而异,中,否,,主集,test,
NEG-0914,v6,二、生理与医学必需,2.2 生理周期与内分泌,其他,医学争鸣,无,,“男性更年期”这个说法在医学界一直存在争议。,,无需改写,男性更年期,术语名称，句子本身在讨论其争议,这一说法在医学界一直存在争议,中,是,,主集,index,
NEG-0915,v6,二、生理与医学必需,2.3 性别特异性器官与疾病,医疗健康,门诊解释,无,,乳腺结节 3 类以下一般随访就行，不用急着处理。,,无需改写,乳腺结节,疾病分类与处置建议,这类结节 3 类以下一般随访就行,易,否,,主集,test,
NEG-0916,v6,二、生理与医学必需,2.3 性别特异性器官与疾病,医疗健康,妇科门诊,无,,子宫肌瘤要不要手术，主要看大小和有没有症状。,,无需改写,子宫肌瘤,疾病名称与手术指征,这类肌瘤要不要手术，主要看大小和症状,易,否,,主集,index,
NEG-0917,v6,二、生理与医学必需,2.3 性别特异性器官与疾病,医疗健康,健康科普,无,,男性也会得骨质疏松，只是发病年龄通常晚十年左右。,,无需改写,男性,破除“骨质疏松是女性病”的常见误解,骨质疏松的发病年龄因人而异,难,否,对称样本：删去男性即消灭一条纠偏信息,主集,index,
NEG-0918,v6,二、生理与医学必需,2.3 性别特异性器官与疾病,医疗健康,泌尿科科普,无,,尿路感染在女性中更高发，与尿道解剖结构有关。,,无需改写,女性,发病率差异及其解剖学原因,尿路感染的发病率与解剖结构有关,中,否,,主集,index,
NEG-0919,v6,二、生理与医学必需,2.4 药理与诊疗差异,公文与规章,用药交代,无,,这个药孕妇禁用，哺乳期需要权衡利弊。,,无需改写,孕妇/哺乳期,用药禁忌分级,这个药特殊时期禁用，其他情况权衡利弊,易,否,,主集,index,
NEG-0920,v6,二、生理与医学必需,2.4 药理与诊疗差异,其他,急诊科,无,,女性血容量相对小，同等失血量下休克来得更快。,,无需改写,女性,临床判断依据,血容量小的患者，同等失血量下休克更快,中,否,,主集,dev,
NEG-0921,v6,二、生理与医学必需,2.4 药理与诊疗差异,其他,儿科用药,无,,这类药的给药剂量按体重计算，与性别无关。,,无需改写,性别,剂量依据的说明，句子本身在排除性别,这类药的给药剂量按体重计算,中,否,元层面样本：明说不按性别，改写反而删掉了这条信息,主集,dev,
NEG-0922,v6,二、生理与医学必需,2.5 性别确认医疗与性健康,其他,健康教育,无,,安全套是唯一能同时预防怀孕和性传播疾病的方式。,,无需改写,怀孕/性传播疾病,公共卫生知识要点,这一措施能同时预防两类风险,易,否,,主集,index,
NEG-0923,v6,二、生理与医学必需,2.5 性别确认医疗与性健康,其他,性教育课,无,,青少年性教育应当包含男女双方的生理知识。,,无需改写,男女双方,教学内容的完整性要求,青少年性教育应当包含相关生理知识,中,否,,主集,index,
NEG-0924,v6,二、生理与医学必需,2.6 鉴定与研究场景,其他,法医学,无,,骨龄片可以推断年龄，性别判断主要看骨盆形态。,,无需改写,性别判断,鉴定方法的分工说明,骨龄片可以推断年龄，其他特征另作判断,易,否,,主集,test,
NEG-0925,v6,二、生理与医学必需,2.6 鉴定与研究场景,其他,标本管理,结构化文本,,这批标本按性别和年龄段分组编号保存。,,无需改写,性别,标本管理的分组依据,这批标本按年龄段分组编号保存,易,否,,主集,test,
NEG-0926,v6,三、制度性与统计性区分,3.1 法律与行政身份,医疗健康,法律科普,无,,孩子随父姓还是随母姓，法律上都可以。,,无需改写,父姓/母姓,姓氏选择权的法律说明,孩子随哪一方姓，法律上都可以,中,否,,主集,index,
NEG-0927,v6,三、制度性与统计性区分,3.1 法律与行政身份,其他,婚姻登记,无,,办理结婚登记时，男女双方须同时到场。,,无需改写,男女双方,登记程序的法定要求,办理结婚登记时，双方须同时到场,中,否,,主集,dev,
NEG-0928,v6,三、制度性与统计性区分,3.1 法律与行政身份,公文与规章,法律咨询,无,,收养关系成立后，养子女与生父母之间的权利义务终止。,,无需改写,养子女/生父母,法律关系的准确表述,收养关系成立后，与原家庭的权利义务终止,中,否,,主集,index,
NEG-0929,v6,三、制度性与统计性区分,3.2 劳动与社会保障,其他,劳动保护,无,,女职工人数超过一定规模的单位应当设置卫生室。,,无需改写,女职工,设施配置的法定条件,职工人数超过一定规模的单位应设卫生室,中,否,,主集,test,
NEG-0930,v6,三、制度性与统计性区分,3.2 劳动与社会保障,公文与规章,政策比较,无,,男性护理假各省规定不一，短的 7 天，长的 30 天。,,无需改写,男性护理假,现行制度的准确转述,护理假各省规定不一，从 7 天到 30 天,中,是,,主集,index,
NEG-0931,v6,三、制度性与统计性区分,3.2 劳动与社会保障,公文与规章,HR 答疑,无,,产假期间的社保由单位继续按月缴纳。,,无需改写,产假,假期期间的待遇规定,休假期间的社保由单位继续缴纳,易,否,,主集,index,
NEG-0932,v6,三、制度性与统计性区分,3.3 体育竞技分级,公文与规章,项目介绍,无,,花样滑冰双人滑与冰舞的男女分工并不相同。,,无需改写,男女分工,项目规则说明,花样滑冰两个项目的分工并不相同,中,否,,主集,index,
NEG-0933,v6,三、制度性与统计性区分,3.3 体育竞技分级,新闻报道,赛事新闻,无,,这个项目今年首次设女子组，报名人数超出预期。,,无需改写,女子组,赛事设项的变化,这个项目今年首次增设新组别,中,否,,主集,index,
NEG-0934,v6,三、制度性与统计性区分,3.3 体育竞技分级,其他,体操知识,无,,男子体操有六个单项，女子体操是四个。,,无需改写,男子/女子,项目设置的事实差异,体操的单项数量各组不同,易,否,,主集,dev,
NEG-0935,v6,三、制度性与统计性区分,3.4 空间与设施,公文与规章,校园管理,无,,男女宿舍分楼栋管理，晚上十一点关楼门。,,无需改写,男女宿舍,宿舍管理规定,学生宿舍分楼栋管理，十一点关门,中,是,,主集,test,
NEG-0936,v6,三、制度性与统计性区分,3.4 空间与设施,其他,医院介绍,无,,这家医院设了男性关爱门诊，主要看男科相关问题。,,无需改写,男性关爱门诊/男科,科室名称与诊疗范围,这家医院设了专科门诊,中,否,,主集,index,
NEG-0937,v6,三、制度性与统计性区分,3.5 统计、监测与研究,学术与调研,社会调查,无,,农村留守儿童中，母亲外出务工的比例逐年上升。,,无需改写,母亲,留守问题研究的关键变量,农村留守儿童中，家长外出务工比例上升,中,否,,主集,index,
NEG-0938,v6,三、制度性与统计性区分,3.5 统计、监测与研究,其他,安全生产,无,,男性在高危职业中的占比接近九成。,,无需改写,男性,职业风险分布的统计事实,高危职业的从业者构成较为集中,中,否,,主集,test,
NEG-0939,v6,三、制度性与统计性区分,3.5 统计、监测与研究,学术与调研,时间利用调查,无,,女性从事无酬照料劳动的时间是男性的两倍多。,,无需改写,女性/男性,时间利用调查的核心结论,不同群体从事无酬照料劳动的时间差异明显,中,否,,主集,index,
NEG-0940,v6,三、制度性与统计性区分,3.5 统计、监测与研究,学术与调研,调查方法,无,,本次抽样中男性受访者的应答率低于女性，需做加权处理。,,无需改写,男性/女性,应答偏差与加权依据,本次抽样中部分群体应答率偏低，需加权处理,中,否,,主集,index,
NEG-0941,v6,三、制度性与统计性区分,3.6 平权、保护与专项服务,公文与规章,助学项目,无,,这个奖学金专门资助西部地区的女童完成义务教育。,,无需改写,女童,资助对象界定,这个奖学金专门资助西部地区儿童,难,否,,主集,test,
