编号,来源版本,L1类别,L2子类,载体形式,指向性别,叠加类别,语体大类,语体,噪声类型,文本长度,输入句子,参考改写,期望标签,问题触发词,问题说明,可接受的其他改法,欠改陷阱（改了但没改到位）,过改陷阱（矫枉过正）,必须保留的信息,严重度,难度,是否争议,备注,处置,切分,处置理由
POS-0863,v9,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,常规句,双向,,商业与产品,婚恋App介绍,无,中,平台按男看颜值、女看条件的真实偏好设计推荐算法，匹配更高效。,平台按用户自填的偏好权重设计推荐算法，各维度可自行调整。,需改写,男看颜值、女看条件,把择偶偏好按性别硬编码进算法，会把假设变成自我实现的结果。,“推荐权重由用户自行设置”,只删“真实”二字，硬编码的偏好假设仍在,把推荐算法这一产品机制删掉,平台以推荐算法做匹配这一机制、匹配效率这一卖点,必改,难,否,算法层的绑定，后果会扩散,主集,test,
POS-0864,v9,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,成语俗谚,双向,,文艺创作与评论,婚礼司仪串词,无,中,郎才女貌，门当户对，两位真是天造地设的一对。,两位志趣相投、家人也彼此欣赏，真是天造地设的一对。,需改写,郎才女貌／门当户对,前者按性别分派价值，后者以家世匹配为佳偶标准。,“两位彼此欣赏，家人也和睦”,只删“门当户对”，郎才女貌仍在,删掉祝福语，丢失司仪串词功能,对新人的赞美与祝福、司仪串词体裁,应改,中,是,多触发点；婚礼套语的沿用有分歧,主集,test,
POS-0865,v9,三、属性绑定（陈述性：把特质归于性别）,3.7 婚恋与择偶偏好的性别化,常规句,指向男性,,口语与私人交流,朋友闲聊,方言,中,男的嘛，找个小几岁的正常，女大三抱金砖那是老黄历了。,年龄差多少都正常，关键看两个人合不合得来。,需改写,男的找小几岁的正常／女大三抱金砖,一句之内两个婚配俗规：前者把年龄差方向固定，后者以俗谚给出反例仍在同一框架内。,“年龄差不是问题，合适最重要”,只删俗谚，前半句的方向预设仍在,把年龄差这一话题删掉，丢失闲聊由头,在讨论恋爱中的年龄差、闲聊口语,应改,中,是,多触发点；异形同机制,主集,test,
POS-0867,v9,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,常规句,指向女性,,商业与产品,职场穿搭博主,无,中,职场女性就该穿得体面一点，邋遢会让人觉得你不专业。,职场着装保持整洁得体，会让沟通更顺畅。,需改写,职场女性就该,以性别提出着装要求，并把不达标与专业性挂钩。,“着装整洁有助于建立专业印象”,只删“女性”，“就该”这一应然句式仍在,把着装与专业印象的关系这一内容删掉,着装体面有助于专业印象这一建议、博主口播语体,必改,中,否,同机制新语体,主集,test,
POS-0868,v9,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,常规句,指向男性,,公文与规章,新兵教育,无,中,既然穿上这身军装，男子汉就得把苦往肚里咽，别动不动找班长诉苦。,既然穿上这身军装，遇到困难先自己想办法，实在解决不了再找班长。,需改写,男子汉就得把苦往肚里咽,以性别禁止求助，会阻断部队心理支持的正常渠道。,“先自主处理，确有困难再逐级反映”,只删“男子汉”，禁止诉苦这一要求仍在,把“可以找班长”这一渠道整个取消，加重原句问题,遇困难先自主处理、班长是可用的求助渠道,必改,中,否,同机制新语体,主集,test,
POS-0869,v9,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,常规句,指向女性,,医疗健康,产科宣教,无,中,当妈妈就得学会忍，生产的疼是每个女人都要过的坎。,分娩疼痛可以通过镇痛方式缓解，是否使用由产妇本人决定。,需改写,当妈妈就得学会忍／每个女人都要过的坎,把疼痛忍受设为母职的必经考验，会阻碍产妇提出镇痛需求。,“可选择分娩镇痛，具体方案由医生与产妇共同决定”,只删“得学会忍”，“都要过的坎”仍在,把分娩疼痛这一宣教主题删掉,宣教对象为待产产妇、涉及分娩疼痛这一主题,必改,中,否,含健康风险；同机制新语体,主集,index,
POS-0870,v9,四、规范说教（应然性：以性别提出要求）,4.1 应然句式,成语俗谚,指向男性,,社交与社区,家书体推文,无,中,儿啊，男儿当自强，天塌下来也得自己扛，别指望谁来帮。,儿啊，遇事要有担当，也别硬扛，该求助时就开口。,需改写,男儿当自强／别指望谁来帮,以性别提出独自承担的要求，并否定求助的正当性。,“要有担当，也要懂得寻求帮助”,只删“男儿”，独自扛的要求仍在,把父辈嘱托这一体裁功能删掉,长辈对晚辈的嘱托、家书体的抒情语气,必改,中,否,异形同机制：男儿当自强,主集,dev,
POS-0871,v9,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,常规句,指向女性,,文艺创作与评论,小说对白,无,中,连个孩子都生不出，你算什么完整的女人。,这些年为了孩子的事，你我都熬得太苦了。,需改写,算什么完整的女人,以生育界定女性身份的完整性，是资格定义中最具伤害性的一类。,“为孩子的事，我们都熬得太久了”,只删“完整的”，资格判定仍在,把这段冲突删掉，破坏情节推进,两人因生育问题长期困扰这一情节,必改,中,是,若为反派塑造则属负例；同机制新语体,主集,test,
POS-0872,v9,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,常规句,指向男性,,社交与社区,催收短信,无,中,欠钱不还，你还是个爷们儿吗？明天不还就上门。,欠款已逾期，请于明日前处理，否则将按约定采取进一步措施。,需改写,还是个爷们儿吗,以性别羞辱施压，属资格定义在催收场景的使用。,“逾期未还，请尽快处理”,改成“还是不是个男人”，资格判定仍在,把“明天不还就上门”这一催告内容改掉，损失原文意思,欠款逾期这一事实、明日为处理期限、将采取进一步措施,必改,中,否,同机制新语体,主集,index,
POS-0873,v9,四、规范说教（应然性：以性别提出要求）,4.2 资格与身份定义,常规句,指向女性,,商业与产品,家政培训,无,中,做月嫂第一条就是要有女人味，说话轻声细语，主家才放心。,做月嫂第一条是沟通清楚、操作规范，主家才放心。,需改写,要有女人味,以性别气质作为职业资格，替代了对技能的要求。,“沟通清晰、操作规范是首要要求”,只删“女人味”，仍以“轻声细语”作职业标准,把“主家才放心”这一培训要点删掉,月嫂职业的首要要求、让雇主放心这一目标,必改,中,否,同机制新语体,主集,dev,
POS-0874,v9,四、规范说教（应然性：以性别提出要求）,4.3 选择的性别化劝阻与限制,常规句,指向女性,,公文与规章,军校招生咨询,无,中,女生报指挥类专业毕业分配会很受限，建议改报后勤保障方向。,指挥类专业的分配去向与体能、专业成绩相关，建议结合个人情况与招生简章评估。,需改写,女生报指挥类会受限,以性别推定分配前景，实质是劝退。,“分配去向按简章规定，建议对照自身条件评估”,只删“女生”，仍替考生作出改报结论,把分配受限这一真实信息完全抹掉，丢失咨询价值,指挥类与后勤保障两个方向、分配去向这一咨询关切,必改,中,否,同机制新语体,主集,index,
POS-0875,v9,四、规范说教（应然性：以性别提出要求）,4.3 选择的性别化劝阻与限制,常规句,指向男性,,社交与社区,知乎回答,无,中,劝退，男生做美妆博主天花板很低，粉丝盘子就那么大。,劝退慎重，美妆赛道竞争激烈，起号周期长，需要有内容差异化。,需改写,男生做美妆博主天花板低,以性别预判职业上限，把赛道问题转成性别问题。,“这个赛道竞争激烈，需要差异化定位”,只删“男生”，天花板低这一无据结论仍在,把赛道竞争这一真实信息删掉，丢失回答价值,美妆赛道竞争激烈这一信息、回答在给出择业建议,必改,中,否,反向；同机制新语体,主集,dev,
POS-0877,v9,四、规范说教（应然性：以性别提出要求）,4.4 年龄、婚育与人生进度捆绑,常规句,指向男性,,口语与私人交流,同学聚会,无,中,都三十五了还没房没车没老婆，男人这个岁数再不立就晚了。,都三十五了，房、车、成家这些各人节奏不同，不用拿同一个尺子量。,需改写,男人这个岁数再不立就晚了,把人生进度设为男性必须按期达成的清单。,“每个人的节奏不一样，不用统一时间表”,只删“男人”，进度清单仍在,把三十五岁与三项人生指标这一话题删掉,对方三十五岁、房车与婚姻被作为衡量项、聚会闲聊口语,应改,中,否,同机制新语体,主集,index,
POS-0879,v9,四、规范说教（应然性：以性别提出要求）,4.5 传统角色规训与伦理话语,成语俗谚,指向女性,,社交与社区,家族群,无,中,咱们家的媳妇都讲究出得厅堂入得厨房，你多跟你嫂子学学。,咱们家的人都愿意搭把手，家里家外的事你跟你嫂子多商量。,需改写,出得厅堂入得厨房／媳妇,以俗谚对特定家庭身份提出全能要求，并以同辈作为示范施压。,“家里的事大家一起分担，多和嫂子商量”,只删俗谚，“咱们家的媳妇都”这一身份要求仍在,把家庭内互相学习这一情境删掉,家族内的家务分担、以嫂子为参照这一情境、群聊口语,必改,中,否,同机制新语体,主集,test,
POS-0880,v9,四、规范说教（应然性：以性别提出要求）,4.5 传统角色规训与伦理话语,常规句,指向男性,,公文与规章,家风讲堂,无,中,男人是一家之主，主意要拿得定，家里才有主心骨。,家庭事务需要有人牵头，谁更合适由家人共同商量。,需改写,男人是一家之主,把家庭决策权按性别指派，属反向的角色规训。,“家庭决策由成员共同商定”,只删“男人”，一家之主这一单一权威结构仍在,把家庭需要有人牵头这一内容删掉,家庭事务需要有人牵头这一问题、讲堂的宣讲体裁,必改,中,否,反向规训；同机制新语体,主集,test,
POS-0882,v9,四、规范说教（应然性：以性别提出要求）,4.6 保护式区别对待（善意歧视）,常规句,指向女性,,新闻报道,救援报道,无,中,现场指挥考虑到女消防员体力，安排她们在外围警戒，未参与内攻。,现场指挥按持证等级与空气呼吸器配备情况分组，内攻由具备资质的人员承担。,需改写,考虑到女消防员体力,以性别而非资质分配任务，形式为照顾，实质取消其一线经验积累。,“内攻人员按资质与装备配备情况编组”,只删“考虑到体力”，仍按性别安排外围,把内攻与外围警戒这两项任务删掉，丢失报道事实,现场存在内攻与外围警戒两类任务、需要分组,应改,中,是,同机制新语体,主集,test,
POS-0883,v9,四、规范说教（应然性：以性别提出要求）,4.6 保护式区别对待（善意歧视）,常规句,指向女性,,学术与调研,实验室安全须知,无,中,涉及强酸的实验，女同学在旁记录即可，操作由男同学完成。,涉及强酸的实验，须由通过安全考核的同学操作，其余人在安全距离外记录。,需改写,女同学记录／男同学操作,以性别而非安全考核分配操作机会，会造成训练机会的系统性差异。,“操作人须通过安全考核，其余人负责记录”,只删“女同学”，仍指定男同学操作,把强酸实验的安全分工整个删掉，丢失须知内容,强酸实验存在操作与记录两个位置、需要安全约束,必改,中,否,同机制新语体,主集,test,
POS-0884,v9,四、规范说教（应然性：以性别提出要求）,4.6 保护式区别对待（善意歧视）,常规句,双向,,商业与产品,团队出差安排,无,中,长途驾驶让男同事轮着来，女同事负责导航和订房，大家都轻松。,长途驾驶由持证且休息充分的同事轮换，导航与订房另行分工。,需改写,驾驶让男同事／女同事导航订房,按性别分派驾驶与后勤，形式上是体贴，实质是固定角色。,“驾驶按持证与休息情况轮换，后勤另行分工”,只删“女同事”，驾驶仍指定男同事,把长途驾驶与后勤这两项安排删掉,长途驾驶需要轮换、导航与订房这两项后勤工作,应改,中,是,同机制新语体,主集,test,
POS-0885,v9,五、关系性不对等（需比较两个对象方成立）,5.1 称谓与头衔层级不对等,常规句,双向,,医疗健康,科室介绍,无,中,科室由陈志远主任医师领衔，另有护士长王姐和几位年轻医生。,科室由陈志远主任医师领衔，护理工作由护士长王慧负责，另有几位年轻医生。,需改写,护士长王姐,一方称职称全名、一方称亲属化昵称，层级与正式度不对等。,统一按职务加姓名介绍,改成“王护士长”虽有改善，但仍未给出姓名,编造姓名（不掌握时应写“护士长”）,陈志远为主任医师、科室设护士长、另有年轻医生,应改,中,否,同机制新语体,主集,test,
POS-0886,v9,五、关系性不对等（需比较两个对象方成立）,5.1 称谓与头衔层级不对等,结构化文本,双向,,公文与规章,专家库名录,结构化文本,中,入库专家：吴建军（研究员）、赵雪（女）、孙浩（高级工程师）。,入库专家：吴建军（研究员）、赵雪（副研究员）、孙浩（高级工程师）。,需改写,赵雪（女）,三人中两人标职称、一人标性别，标注维度不一致。,若不掌握其职称，统一改为只列姓名,改成“赵雪（女，专家）”，仍与职称序列不对等,编造职称（不掌握时应只列姓名）,三位入库专家的姓名、名录的括注格式,应改,中,否,同机制新载体,主集,index,
POS-0889,v9,五、关系性不对等（需比较两个对象方成立）,5.3 描述信息不对等,常规句,双向,,学术与调研,会议手册作者简介,无,长,刘光明，某大学教授，主要研究方向为分子催化；何雨欣，某大学教授，已婚，育有一女，业余爱好烘焙。,刘光明，某大学教授，主要研究方向为分子催化；何雨欣，某大学教授，主要研究方向为表面化学。,需改写,已婚／育有一女／业余爱好烘焙,同为教授，一方写研究方向、一方写婚育与爱好。,统一写研究方向，或都不写个人信息,只删“已婚育有一女”，爱好仍是唯一的补充维度,编造其研究方向（不掌握时应留空并注明待补）,两人均为某大学教授、刘光明研究分子催化,应改,中,否,同机制新语体,主集,test,
POS-0891,v9,五、关系性不对等（需比较两个对象方成立）,5.4 附属化定位,常规句,指向女性,,公文与规章,考察团行程,无,中,考察团一行八人，含技术骨干五名、翻译一名，另有随行女眷两名。,考察团一行八人，含技术骨干五名、翻译一名，另有随行家属两名（姓名见附表）。,需改写,随行女眷,前两类以职能标识、第三类以性别与从属关系标识。,统一改为“随行家属”，并在附表中列明姓名,改成“随行家属女性两名”，性别标注仍多余,改动人数构成，破坏行程安排,考察团共八人、技术骨干五名、翻译一名、随行两名,应改,中,否,同机制新语体,主集,test,
POS-0892,v9,五、关系性不对等（需比较两个对象方成立）,5.4 附属化定位,常规句,指向男性,,社交与社区,颁奖后采,无,中,领奖时她特意感谢了背后默默付出的先生，多年来他包揽了所有家务。,领奖时她特意感谢了伴侣周明，多年来家务主要由他承担。,需改写,背后默默付出的先生,以“背后默默付出”定位配偶，反向使用同样抹去其独立身份。,“她感谢了长期承担家务的伴侣”,只删“默默”，背后这一定位仍在,编造配偶姓名（不掌握时应写“伴侣”）,她在领奖时致谢配偶、家务多年由对方承担,应改,中,否,反向附属化；同机制新实例,主集,test,
POS-0893,v9,五、关系性不对等（需比较两个对象方成立）,5.5 从夫称谓与旧式谦称,常规句,指向女性,,新闻报道,讣闻,无,中,先生一生治学，身后留下夫人与二子，夫人多年为其誊抄书稿。,先生一生治学，身后留下伴侣李清芬与二子；李清芬多年参与其书稿整理。,需改写,夫人（两处）／为其誊抄,以从夫称谓指代且无本名，贡献以“为其”表述，附属化与从夫称谓叠加。,若不掌握姓名，写“其伴侣多年参与书稿整理”,只删一处“夫人”，另一处与“为其”仍在,编造姓名（不掌握时应写“伴侣”）,先生一生治学、身后留有伴侣与二子、伴侣参与书稿整理,应改,难,是,多触发点；同机制新语体,主集,index,
POS-0894,v9,五、关系性不对等（需比较两个对象方成立）,5.5 从夫称谓与旧式谦称,常规句,指向女性,,公文与规章,优抚登记,结构化文本,中,登记项：烈士遗孀姓名____ 与烈士关系 □妻,登记项：烈士配偶姓名____ 与烈士关系 □配偶 □其他____,需改写,遗孀／关系仅“妻”,以“遗孀”定义身份，且关系栏单向穷举，其他情形无法登记。,统一使用“配偶”，关系栏留出其他选项,只把“遗孀”改成“遗属”，关系栏仍只有“妻”,删掉关系栏，丢失登记要素,姓名与关系两个登记项、优抚登记这一用途、表单格式,应改,中,是,同机制新载体,主集,dev,
POS-0900,v9,五、关系性不对等（需比较两个对象方成立）,5.8 成就与失败的归因不对等,常规句,双向,,社交与社区,家长群议论,无,中,他家孩子考得好是随爸爸聪明，她家孩子考得好是妈妈盯得紧。,两家孩子都考得不错，各家的方法不一样。,需改写,随爸爸聪明／妈妈盯得紧,同一结果分别归因于父亲的天赋与母亲的付出，两侧都被简化。,“两个孩子都考得好，方法各有不同”,只删后半句，前半句的天赋归因仍在,编造两家的教育方式，超出原句,两家孩子都考得不错这一事实、群聊议论的口语,建议改,难,否,同机制新语体,主集,test,
POS-0901,v9,六、以性别设限与划界,6.1 二元穷举式称呼与并称,常规句,双向,,公文与规章,村务公开栏,方言,中,全村男女老少都来看看，这季度的账目全公开了。,全村人都来看看，这季度的账目全公开了。,需改写,男女老少,以性别与年龄的四元穷举统称全体村民。,“请全体村民查看本季度账目”,改成“男女老幼”，穷举结构未变,改动公开内容或季度范围，破坏公示事实,本季度账目全部公开、面向全体村民、方言口语,应改,中,是,异形同机制：男女老少,主集,test,
POS-0902,v9,六、以性别设限与划界,6.1 二元穷举式称呼与并称,常规句,双向,,社交与社区,社群置顶公告,emoji,中,各位小哥哥小姐姐，本群仅供技术交流，广告请自觉退群🙏,各位群友，本群仅供技术交流，广告请自觉退群🙏,需改写,小哥哥小姐姐,以二元昵称统称全体群成员。,“各位成员，本群仅供技术交流”,改成“小哥哥小姐姐们”，穷举结构未变,删掉 emoji，改变公告语气,本群用途为技术交流、禁止广告、emoji 与社群语体,应改,易,否,异形同机制：小哥哥小姐姐,主集,index,
POS-0903,v9,六、以性别设限与划界,6.1 二元穷举式称呼与并称,代码与字段,双向,,工程与技术,国际化文案键,结构化文本,中,"welcome.male = ""先生您好""
welcome.female = ""女士您好""","welcome.default = ""您好""",需改写,按性别分设两个文案键,文案在键值层就按性别分叉，任何缺失或未知取值都无处落地。,保留单一键并在需要时由用户自填称呼,增加 welcome.other，键数增多但分叉结构仍在,改动键名前缀 welcome，破坏国际化资源加载,welcome 这一键前缀、问候语这一文案用途、资源文件格式,应改,中,否,同机制新载体,主集,index,
POS-0904,v9,六、以性别设限与划界,6.2 家庭结构的窄化预设,常规句,双向,,商业与产品,亲子套餐说明,无,中,家庭套餐含两大一小，需一位爸爸与一位妈妈同行方可享受优惠。,家庭套餐含两大一小，两名成人与一名儿童同行即可享受优惠。,需改写,一位爸爸与一位妈妈,把优惠条件绑定为异性双亲结构，其他家庭无法享受。,“两名成人携一名儿童即可”,只把“爸爸妈妈”改成“父母”，双亲结构仍是条件,改动套餐构成或优惠规则，损失产品信息,套餐含两大一小、同行可享优惠这一规则,应改,中,否,同机制新语体,主集,test,
POS-0906,v9,六、以性别设限与划界,6.3 表单、字段与选项的强制二元,结构化文本,双向,,医疗健康,体检预约页,结构化文本,中,第三步 选择套餐：○男士套餐 ○女士套餐（必选，选定后不可更改）,第三步 选择套餐：○基础套餐 ○含妇科检查 ○含前列腺检查 ○自定义组合（可多选）,需改写,男士套餐／女士套餐且不可更改,以性别打包体检项目，跨性别者与有特定筛查需求者都被迫二选一。,按检查项目组合，允许自选,只放开“可更改”，套餐仍按性别打包,删掉套餐选择这一步骤，破坏预约流程,第三步这一流程位置、需选择体检套餐、套餐存在项目差异,应改,难,是,医疗必需项与身份表达的边界,主集,index,
POS-0908,v9,六、以性别设限与划界,6.4 依推定的性别称谓指派,常规句,指向男性,,商业与产品,建材市场导购,方言,中,老板您这是给自家装修吧，男的一般都看重瓷砖硬度。,您这是给自家装修吧，先看看瓷砖的硬度参数。,需改写,老板／男的一般都看重,依外表推定并称呼，同时按推定的性别预判关注点。,“您先看看瓷砖的硬度参数”,只删“老板”，后半句的预判仍在,把瓷砖硬度这一产品要点删掉，丢失导购内容,对方在为自家装修、瓷砖硬度这一产品要点、市场口语,应改,中,否,同机制新语体,主集,index,
POS-0909,v9,六、以性别设限与划界,6.4 依推定的性别称谓指派,代码与字段,双向,,工程与技术,智能客服意图模型,结构化文本,中,// 语音入线时，先按基频推断性别，再选择男声或女声话术模板,// 语音入线时，直接使用统一话术模板；如用户明确要求，可切换音色,需改写,按基频推断性别,以声学特征推断性别并切换话术，误判率高且用户无从纠正。,统一话术，音色由用户主动选择,只把推断结果标为低置信，仍据以切换模板,删掉话术模板选择这一逻辑，导致客服无应答策略,语音入线这一触发时机、需要选择话术模板、注释格式,必改,难,否,推断链路；同机制新实例,主集,test,
POS-0910,v9,六、以性别设限与划界,6.5 准入与资格的性别限制,结构化文本,指向女性,,公文与规章,竞赛报名简章,结构化文本,中,参赛资格：一、在校本科生；二、限男性（含野外测绘）；三、身体健康。,参赛资格：一、在校本科生；二、能完成野外测绘作业并通过体检；三、身体健康。,需改写,限男性（含野外测绘）,以作业内容为由设性别门槛，实际应以体检与技能为准。,“需通过野外作业体检与技能考核”,改成“男性优先”，仍以性别设门槛,把野外测绘这一真实作业内容删掉,三项参赛资格、野外测绘这一作业内容、简章格式,必改,中,否,含合规风险；同机制新载体,主集,test,
POS-0911,v9,六、以性别设限与划界,6.5 准入与资格的性别限制,常规句,指向男性,,商业与产品,会员制说明,无,中,本俱乐部为女性专属空间，男性会员不予受理，随行男宾请在外厅等候。,本俱乐部部分区域为女性专属，其余区域面向全体会员开放，具体见分区指引。,需改写,男性会员不予受理／男宾外厅等候,以性别限制入会与进入，反向使用同样构成准入排他。,“女性专属区与公共区分设，入会不限性别”,只删“外厅等候”，不予受理仍在,把该俱乐部设有女性专属空间这一事实删掉,该俱乐部设有女性专属空间、存在会员受理规则,应改,中,是,反向排他；隐私类空间的必要性有分歧,主集,test,
POS-0912,v9,六、以性别设限与划界,6.6 空间、设施与分组的非必要划分,常规句,双向,,学术与调研,宿舍调研,无,中,问卷按男生楼与女生楼分发，自习室也按性别划分了固定时段。,问卷按楼栋分发；自习室的使用时段按预约排布，不按性别划分。,需改写,自习室按性别划分时段,宿舍分楼有隐私依据，自习室按性别分时段则无必要，两者应分开处理。,“自习室按预约排布使用时段”,只删“固定”，按性别划分时段仍在,把宿舍分楼这一有依据的安排一并取消,问卷按楼栋分发、自习室需要一套使用时段规则,应改,难,是,边界样本：有依据的分区与无必要的划分并存,主集,test,
POS-0913,v9,六、以性别设限与划界,6.6 空间、设施与分组的非必要划分,标题,双向,,商业与产品,停车场标识,缺标点,短,女士专用车位 男士勿停,优先车位 近电梯需登记,需改写,女士专用／男士勿停,以性别而非需求分配近电梯车位，标识体裁下更显绝对。,“优先车位 有需要者登记使用”,只删“男士勿停”，专用限制仍在,补全标点或扩写成完整说明，改变标识体裁,该车位为优先车位、存在使用限制、标识的简短体裁,应改,中,是,短样本；保留缺标点噪声,主集,index,
POS-0914,v9,六、以性别设限与划界,6.7 生理与医学表述的性别绝对化,常规句,指向男性,,医疗健康,健康问答,无,中,男的不用管骨盆底肌，那是产后女性才需要练的。,盆底肌训练对男性同样有意义，可改善压力性尿失禁与术后康复。,需改写,男的不用管骨盆底肌,医学事实错误：男性盆底肌功能障碍确实存在，尤其在前列腺术后。,“盆底肌训练男女均适用，具体方案遵医嘱”,只加一句“男的也能练”，未纠正前半句的排除,把盆底肌训练这一健康主题删掉,盆底肌训练这一主题、健康问答的答复功能,必改,中,否,医学事实错误,主集,test,
POS-0915,v9,六、以性别设限与划界,6.7 生理与医学表述的性别绝对化,常规句,指向女性,,医疗健康,用药提示,无,中,该药可能影响生育，仅育龄女性需在用药前告知医生。,该药可能影响生育，有生育计划者用药前均应告知医生。,需改写,仅育龄女性需告知,医学事实错误：该类药物对精子发生同样可能有影响，限定告知对象会造成风险漏报。,“有生育计划的患者，无论性别，均应事先告知”,只删“仅”，仍未纳入其他患者,把可能影响生育这一风险提示删掉,该药可能影响生育这一风险、用药前告知医生这一要求,必改,中,否,医学事实错误,主集,test,
POS-0916,v9,六、以性别设限与划界,6.7 生理与医学表述的性别绝对化,常规句,双向,,公文与规章,职业病防治宣传,无,中,接触苯系物的岗位对女工危害更大，男工可适当放宽防护要求。,接触苯系物的岗位对所有作业人员均有健康危害，防护要求不因性别放宽。,需改写,男工可适当放宽防护,以性别差异为由降低一侧的防护标准，直接造成职业健康风险。,“防护标准对全体作业人员一致”,只删“适当”，放宽这一结论仍在,把苯系物岗位存在危害这一事实删掉,接触苯系物的岗位存在健康危害、需要防护要求,必改,中,否,含实质安全风险,主集,test,
POS-0918,v9,七、贬损与物化（词项自带贬抑）,7.1 性别化侮辱标签,常规句,指向女性,,口语与私人交流,邻里闲谈,方言,中,那家的老太婆一天到晚搅事，谁跟她住一块儿都得吵。,那家的老人爱管闲事，跟她住一块儿容易起摩擦。,需改写,老太婆,以年龄与性别叠加的贬称指代邻居，词项自带贬抑。,“那位老人爱管事，容易起摩擦”,改成“老婆子”，贬称仍在,把爱管事与容易起冲突这一描述删掉,该邻居爱管闲事、易与人起摩擦、方言闲谈口语,必改,易,否,异形同机制：老太婆,主集,index,
POS-0919,v9,七、贬损与物化（词项自带贬抑）,7.1 性别化侮辱标签,常规句,指向男性,,社交与社区,游戏公会群,网络用语,中,这种大男子主义的癌症晚期就别拉进公会了，指挥谁都不听。,这种听不进指挥的就别拉进公会了，配合太差。,需改写,大男子主义的癌症晚期,以病理化标签概括其观念，替代了对具体行为的描述。,“他从不服从指挥，配合很差”,改成“直男癌”，标签仍在,把“指挥谁都不听”这一具体行为删掉,对方不服从指挥、配合差这一评价、群聊口语,必改,中,否,异形同机制：癌症晚期,主集,test,
POS-0920,v9,七、贬损与物化（词项自带贬抑）,7.1 性别化侮辱标签,常规句,指向女性,,文艺创作与评论,影视点评,无,中,这个角色被塑造成典型的恶婆婆，脸谱化得让人出戏。,这个婆婆角色被写得只剩刁难，脸谱化得让人出戏。,需改写,恶婆婆,以固定贬称概括家庭角色，是家庭伦理剧中的高频脸谱标签。,“婆婆这个角色只剩下刁难这一面”,改成“老巫婆”，贬称仍在,把“脸谱化让人出戏”这一评论结论删掉,该角色塑造单薄、脸谱化导致出戏这一评价,必改,中,是,异形同机制：恶婆婆,主集,test,
POS-0921,v9,七、贬损与物化（词项自带贬抑）,7.1 性别化侮辱标签,代码与字段,双向,,工程与技术,敏感词库配置,结构化文本,长,"blocklist_female = [""剩女"",""黄脸婆"",""绿茶婊""]  # 女性侮辱词，男性侮辱词暂不收录","blocklist_gendered = [""剩女"",""黄脸婆"",""绿茶婊"",""妈宝男"",""凤凰男"",""娘炮""]  # 性别化侮辱词，双向收录",需改写,男性侮辱词暂不收录,词库只收一侧，会在审核环节形成系统性的漏放，注释还把该缺口写成了既定安排。,改为双向收录，并按机制而非按指向分组,只把注释删掉，词库仍是单侧,改动词库结构或删除已有词条，削弱既有审核能力,该词库用于审核、已收录的三个词条、配置文件格式,必改,难,否,治理工具层的单侧覆盖,主集,dev,
POS-0926,v9,七、贬损与物化（词项自带贬抑）,7.3 所有权、支配与交易隐喻,常规句,双向,,法律与司法,普法短视频脚本,无,中,很多人觉得结了婚老婆就是自己的，想怎么样就怎么样，这在法律上叫家庭暴力。,很多人误以为婚姻关系能带来对配偶的支配权，这类行为在法律上构成家庭暴力。,需改写,老婆就是自己的／想怎么样就怎么样,脚本在普法，却以所有权口吻完整复述了该观念。,“误以为婚姻能带来支配权，这类行为构成家暴”,只删后半句，前半句的所有权表述仍在,把“构成家庭暴力”这一法律结论删掉，丢失普法要点,存在这种误解、该行为在法律上构成家庭暴力这一结论,应改,难,是,批判性引用,主集,test,
POS-0927,v9,七、贬损与物化（词项自带贬抑）,7.3 所有权、支配与交易隐喻,常规句,指向女性,,社交与社区,婚俗讨论帖,无,中,彩礼二十万，人接过来了就得好好过，别整天想着回娘家。,彩礼二十万，两个人既然成了家就好好过；回不回娘家该由她自己决定。,需改写,人接过来了／别想着回娘家,以交付隐喻描述婚姻，并据此限制其人身自由。,“成了家就好好经营，回娘家是她自己的事”,只删“人接过来了”，限制回娘家仍在,把彩礼二十万这一事实删掉，丢失讨论前提,彩礼二十万这一事实、两人已成家、跟帖在给出看法,必改,中,否,同机制新语体,主集,test,
POS-0928,v9,七、贬损与物化（词项自带贬抑）,7.4 以某一性别为标准的评价,常规句,指向女性,,公文与规章,援建表彰材料,无,中,在高原施工现场，几位女同志顶起了半边天，工程量丝毫不比男同志少。,在高原施工现场，几位同志承担了大量工作，工程量在全队名列前茅。,需改写,顶起半边天／不比男同志少,以男性工作量为参照上限，两处均以对标构成褒扬。,“几位同志承担的工程量在全队名列前茅”,只删“半边天”，对标结构仍在,把高原施工与工程量这一表彰依据删掉,高原施工现场、几位同志承担大量工程量,建议改,中,是,多触发点；同机制新语体,主集,index,
